N,S,count,time taken(ms)
1000,5,8795,0.5878
1000,10,9231,0.2785
1000,50,13500,0.1063
1000,100,20165,0.1167
1000,500,125161,0.6798
1000,1000,248692,0.7041
5000,5,55749,0.983
5000,10,58515,1.3785
5000,50,87178,0.7776
5000,100,130208,0.2749
5000,500,407919,0.3367
5000,1000,796968,0.8119
10000,5,121563,0.8241
10000,10,127002,0.7807
10000,50,183208,0.659
10000,100,271255,0.5898
10000,500,828869,1.072
10000,1000,1598209,1.8679
50000,5,718222,9.6489
50000,10,728756,6.0282
50000,50,1144083,3.4247
50000,100,1704929,3.601
50000,500,5271841,5.0044
50000,1000,10141506,8.5547
100000,5,1536723,10.3765
100000,10,1558198,8.6163
100000,50,2379416,7.9881
100000,100,3510506,7.5418
100000,500,10650234,11.1754
100000,1000,20341102,15.5214
500000,5,8863857,52.5806
500000,10,9035871,48.7368
500000,50,11089368,45.783
500000,100,14447004,54.4603
500000,500,66362035,64.0726
500000,1000,126803844,100.464
1000000,5,18727545,104.6139
1000000,10,19071737,101.7653
1000000,50,23184412,95.3712
1000000,100,29890878,98.3348
1000000,500,133779717,135.6251
1000000,1000,255045711,192.9312
5000000,5,105557256,616.9149
5000000,10,108215397,580.3946
5000000,50,135616811,545.7848
5000000,100,178689219,527.8461
5000000,500,454863791,628.1273
5000000,1000,831108793,895.1725
10000000,5,221111063,1289.3652
10000000,10,226416826,1352.1819
10000000,50,281244259,1244.4568
10000000,100,367299709,1170.7212
10000000,500,920176218,1518.8293
10000000,1000,1673119997,1788.5861
N,S,count,time taken(ms)
1000,5,8795,0.5947
1000,10,9231,0.1023
1000,50,13500,0.122
1000,100,20165,0.2109
1000,500,125161,0.4756
1000,1000,248692,0.5577
5000,5,55749,0.7047
5000,10,58515,1.0493
5000,50,87178,0.5978
5000,100,130208,0.5996
5000,500,407919,0.34
5000,1000,796968,0.5082
10000,5,121563,0.7175
10000,10,127002,0.7486
10000,50,183208,0.5583
10000,100,271255,0.6545
10000,500,828869,0.7819
10000,1000,1598209,1.576
50000,5,718222,6.8579
50000,10,728756,6.0587
50000,50,1144083,3.6051
50000,100,1704929,3.9043
50000,500,5271841,5.7324
50000,1000,10141506,7.536
100000,5,1536723,11.0015
100000,10,1558198,10.1679
100000,50,2379416,7.5916
100000,100,3510506,7.4643
100000,500,10650234,10.4025
100000,1000,20341102,18.2371
500000,5,8863857,49.7515
500000,10,9035871,47.729
500000,50,11089368,45.3546
500000,100,14447004,44.2261
500000,500,66362035,64.9995
500000,1000,126803844,94.8381
1000000,5,18727545,109.9142
1000000,10,19071737,101.7838
1000000,50,23184412,106.7454
1000000,100,29890878,93.051
1000000,500,133779717,136.12
1000000,1000,255045711,192.6877
5000000,5,105557256,623.8388
5000000,10,108215397,587.8005
5000000,50,135616811,557.2383
5000000,100,178689219,546.8083
5000000,500,454863791,633.6149
5000000,1000,831108793,826.2531
10000000,5,221111063,1249.4746
10000000,10,226416826,1266.863
10000000,50,281244259,1140.0271
10000000,100,367299709,1158.3983
10000000,500,920176218,1405.5389
10000000,1000,1673119997,1671.7768
