N	S	count	time taken(ms)
1000	40	13500	0.8359
1000	41	13500	1.0245
1000	42	13500	1.6316
1000	43	13500	0.9649
1000	44	13500	0.2231
1000	45	13500	0.2166
1000	46	13500	0.1157
1000	47	13500	0.1582
1000	48	13500	0.1516
1000	49	13500	0.1436
1000	50	13500	0.1307
1000	51	13500	0.5587
1000	52	13500	0.2308
1000	53	13500	0.2362
1000	54	13500	0.3127
1000	55	13500	0.1033
1000	56	13500	0.1177
1000	57	13500	0.1237
1000	58	13500	0.1591
1000	59	13500	0.0491
1000	60	13500	0.0502
10000	40	183208	0.6764
10000	41	183208	0.5965
10000	42	183208	0.8272
10000	43	183208	0.5902
10000	44	183208	0.558
10000	45	183208	0.7456
10000	46	183208	0.5642
10000	47	183208	0.6681
10000	48	183208	0.9801
10000	49	183208	0.6882
10000	50	183208	0.621
10000	51	183208	0.6448
10000	52	183208	0.6742
10000	53	183208	0.675
10000	54	183208	0.6379
10000	55	183208	0.7101
10000	56	183208	0.756
10000	57	183208	0.8647
10000	58	183208	0.6027
10000	59	183208	0.6834
10000	60	183208	0.5719
100000	40	1861496	9.4782
100000	41	1861496	7.8476
100000	42	1861496	10.6146
100000	43	1861496	7.8542
100000	44	1861496	8.6729
100000	45	1861496	7.7185
100000	46	1861496	8.2835
100000	47	1861496	7.9142
100000	48	1946665	10.0029
100000	49	2379416	8.297
100000	50	2379416	7.5881
100000	51	2379416	7.948
100000	52	2379416	8.9429
100000	53	2379416	8.2066
100000	54	2379416	7.9022
100000	55	2379416	8.6117
100000	56	2379416	7.6761
100000	57	2379416	8.0367
100000	58	2379416	8.1686
100000	59	2379416	8.0836
100000	60	2379416	8.1797
