N,S,count,time taken(ms)
1000,1,8711,1
1000,100,20165,0
1000,200,33539,0
1000,300,64600,0
1000,400,64600,0
1000,500,125161,0
1000,600,125161,1
1000,700,125161,1
1000,800,125161,0
1000,900,125161,0
1000,1000,248692,0
5000,1,55195,1
5000,100,130208,1
5000,200,220171,0
5000,300,220171,1
5000,400,407919,1
5000,500,407919,0
5000,600,407919,0
5000,700,796968,1
5000,800,796968,1
5000,900,796968,1
5000,1000,796968,0
10000,1,120555,1
10000,100,271255,1
10000,200,456304,1
10000,300,456304,1
10000,400,828869,1
10000,500,828869,1
10000,600,828869,1
10000,700,1598209,1
10000,800,1598209,1
10000,900,1598209,2
10000,1000,1598209,2
50000,1,718089,5
50000,100,1704929,4
50000,200,2882340,4
50000,300,2882340,4
50000,400,5271841,5
50000,500,5271841,5
50000,600,5271841,5
50000,700,5271841,6
50000,800,10141506,8
50000,900,10141506,10
50000,1000,10141506,7
100000,1,1536307,9
100000,100,3510506,9
100000,200,5850874,8
100000,300,5850874,9
100000,400,10650234,11
100000,500,10650234,12
100000,600,10650234,10
100000,700,10650234,11
100000,800,20341102,19
100000,900,20341102,17
100000,1000,20341102,17
500000,1,8837578,58
500000,100,14447004,42
500000,200,21622117,43
500000,300,36408669,49
500000,400,36408669,50
500000,500,66362035,62
500000,600,66362035,62
500000,700,66362035,63
500000,800,66362035,61
500000,900,66362035,62
500000,1000,126803844,93
1000000,1,18674156,113
1000000,100,29890878,88
1000000,200,44190605,93
1000000,300,73726441,102
1000000,400,73726441,102
1000000,500,133779717,132
1000000,600,133779717,133
1000000,700,133779717,132
1000000,800,133779717,133
1000000,900,133779717,133
1000000,1000,255045711,192
5000000,1,105053223,626
5000000,100,178689219,513
5000000,200,269212244,548
5000000,300,269212244,545
5000000,400,454863791,623
5000000,500,454863791,604
5000000,600,454863791,604
5000000,700,831108793,800
5000000,800,831108793,795
5000000,900,831108793,826
5000000,1000,831108793,795
10000000,1,220102723,1276
10000000,100,367299709,1139
10000000,200,548422842,1124
10000000,300,548422842,1135
10000000,400,920176218,1293
10000000,500,920176218,1289
10000000,600,920176218,1303
10000000,700,1673119997,1619
10000000,800,1673119997,1639
10000000,900,1673119997,1618
10000000,1000,1673119997,1617
