N	S	count	time taken(ms)		1 MIL
10000000	1	220102723	1277		141
10000000	2	220102723	1291		120
10000000	3	220101331	1391		104
10000000	4	220222431	1253		103
10000000	5	221111063	1195		106
10000000	6	221111063	1181		104
10000000	7	221111063	1176		101
10000000	8	221111063	1187		95
10000000	9	223153370	1178		94
10000000	10	226416826	1146		94
10000000	11	226416826	1144		95
10000000	12	226416826	1124		95
10000000	13	226416826	1124		99
10000000	14	226416826	1150		96
10000000	15	226416826	1191		94
10000000	16	226416826	1194		96
10000000	17	226416826	1194		95
10000000	18	226416826	1149		97
10000000	19	241000425	1161		95
10000000	20	242315024	1150		104
10000000	21	242315024	1135		105
10000000	22	242315024	1121		97
10000000	23	242315024	1185		111
10000000	24	242315024	1166		114
10000000	25	242315024	1169		108
10000000	26	242315024	1168		108
10000000	27	242315024	1184		113
10000000	28	242315024	1150		119
10000000	29	242315024	1167		101
10000000	30	242315024	1159		107
10000000	31	242315024	1160		98
10000000	32	242315024	1196		105
10000000	33	242315024	1209		101
10000000	34	242315024	1110		105
10000000	35	242315024	1163		104
10000000	36	242315024	1149		103
10000000	37	242315024	1118		99
10000000	38	275243513	1127		94
10000000	39	281244259	1124		91
10000000	40	281244259	1205		90
10000000	41	281244259	1120		104
10000000	42	281244259	1150		104
10000000	43	281244259	1210		98
10000000	44	281244259	1089		98
10000000	45	281244259	1112		96
10000000	46	281244259	1109		91
10000000	47	281244259	1086		93
10000000	48	281244259	1081		90
10000000	49	281244259	1079		95
10000000	50	281244259	1080		92
10000000	51	281244259	1086		94
10000000	52	281244259	1081		90
10000000	53	281244259	1079		90
10000000	54	281244259	1080		94
10000000	55	281244259	1118		93
10000000	56	281244259	1206		104
10000000	57	281244259	1142		99
10000000	58	281244259	1158		96
10000000	59	281244259	1114		99
10000000	60	281244259	1165		97
10000000	61	281244259	1084		101
10000000	62	281244259	1149		91
10000000	63	281244259	1106		94
10000000	64	281244259	1115		90
10000000	65	281244259	1230		96
10000000	66	281244259	1155		90
10000000	67	281244259	1101		93
10000000	68	281244259	1093		117
10000000	69	281244259	1186		101
10000000	70	281244259	1131		103
10000000	71	281244259	1210		101
10000000	72	281244259	1119		107
10000000	73	281244259	1132		109
10000000	74	281244259	1121		100
10000000	75	281244259	1107		100
10000000	76	341521601	1158		93
10000000	77	367299709	1194		96
10000000	78	367299709	1162		95
10000000	79	367299709	1171		100
10000000	80	367299709	1237		114
10000000	81	367299709	1204		115
10000000	82	367299709	1363		109
10000000	83	367299709	1191		105
10000000	84	367299709	1224		95
10000000	85	367299709	1185		104
10000000	86	367299709	1218		93
10000000	87	367299709	1199		90
10000000	88	367299709	1182		103
10000000	89	367299709	1176		94
10000000	90	367299709	1175		99
10000000	91	367299709	1172		111
10000000	92	367299709	1168		115
10000000	93	367299709	1180		99
10000000	94	367299709	1163		110
10000000	95	367299709	1174		107
10000000	96	367299709	1163		109
10000000	97	367299709	1168		102
10000000	98	367299709	1164		100
10000000	99	367299709	1194		96
10000000	100	367299709	1185		105
