N,S,count,time taken(ms)
10000000,40,281244259,1242
10000000,41,281244259,1111
10000000,42,281244259,1200
10000000,43,281244259,1211
10000000,44,281244259,1176
10000000,45,281244259,1217
10000000,46,281244259,1115
10000000,47,281244259,1131
10000000,48,281244259,1208
10000000,49,281244259,1179
10000000,50,281244259,1184
10000000,51,281244259,1130
10000000,52,281244259,1060
10000000,53,281244259,1082
10000000,54,281244259,1078
10000000,55,281244259,1103
10000000,56,281244259,1164
10000000,57,281244259,1230
10000000,58,281244259,1085
10000000,59,281244259,1080
10000000,60,281244259,1072
