N	S	count	time taken(ms)
1000000	1	18674156	141
1000000	2	18674156	120
1000000	3	18674167	104
1000000	4	18727545	103
1000000	5	18727545	106
1000000	6	18727545	104
1000000	7	18821173	101
1000000	8	19071737	95
1000000	9	19071737	94
1000000	10	19071737	94
1000000	11	19071737	95
1000000	12	19071737	95
1000000	13	19071737	99
1000000	14	19071737	96
1000000	15	19885881	94
1000000	16	20224391	96
1000000	17	20224391	95
1000000	18	20224391	97
1000000	19	20224391	95
1000000	20	20224391	104
1000000	21	20224391	105
1000000	22	20224391	97
1000000	23	20224391	111
1000000	24	20224391	114
1000000	25	20224391	108
1000000	26	20224391	108
1000000	27	20224391	113
1000000	28	20224391	119
1000000	29	20224391	101
1000000	30	21601582	107
1000000	31	23184412	98
1000000	32	23184412	105
1000000	33	23184412	101
1000000	34	23184412	105
1000000	35	23184412	104
1000000	36	23184412	103
1000000	37	23184412	99
1000000	38	23184412	94
1000000	39	23184412	91
1000000	40	23184412	90
1000000	41	23184412	104
1000000	42	23184412	104
1000000	43	23184412	98
1000000	44	23184412	98
1000000	45	23184412	96
1000000	46	23184412	91
1000000	47	23184412	93
1000000	48	23184412	90
1000000	49	23184412	95
1000000	50	23184412	92
1000000	51	23184412	94
1000000	52	23184412	90
1000000	53	23184412	90
1000000	54	23184412	94
1000000	55	23184412	93
1000000	56	23184412	104
1000000	57	23184412	99
1000000	58	23184412	96
1000000	59	23184412	99
1000000	60	23184412	97
1000000	61	29647593	101
1000000	62	29890878	91
1000000	63	29890878	94
1000000	64	29890878	90
1000000	65	29890878	96
1000000	66	29890878	90
1000000	67	29890878	93
1000000	68	29890878	117
1000000	69	29890878	101
1000000	70	29890878	103
1000000	71	29890878	101
1000000	72	29890878	107
1000000	73	29890878	109
1000000	74	29890878	100
1000000	75	29890878	100
1000000	76	29890878	93
1000000	77	29890878	96
1000000	78	29890878	95
1000000	79	29890878	100
1000000	80	29890878	114
1000000	81	29890878	115
1000000	82	29890878	109
1000000	83	29890878	105
1000000	84	29890878	95
1000000	85	29890878	104
1000000	86	29890878	93
1000000	87	29890878	90
1000000	88	29890878	103
1000000	89	29890878	94
1000000	90	29890878	99
1000000	91	29890878	111
1000000	92	29890878	115
1000000	93	29890878	99
1000000	94	29890878	110
1000000	95	29890878	107
1000000	96	29890878	109
1000000	97	29890878	102
1000000	98	29890878	100
1000000	99	29890878	96
1000000	100	29890878	105
