N	S	count	time taken(ms)
5000000	1	105053223	638
5000000	2	105053223	634
5000000	3	105053484	641
5000000	4	105115062	652
5000000	5	105557256	606
5000000	6	105557256	611
5000000	7	105557256	605
5000000	8	105557256	625
5000000	9	106577511	613
5000000	10	108215397	613
5000000	11	108215397	592
5000000	12	108215397	585
5000000	13	108215397	586
5000000	14	108215397	603
5000000	15	108215397	623
5000000	16	108215397	587
5000000	17	108215397	594
5000000	18	108215397	603
5000000	19	115495774	572
5000000	20	116152655	565
5000000	21	116152655	575
5000000	22	116152655	571
5000000	23	116152655	638
5000000	24	116152655	585
5000000	25	116152655	577
5000000	26	116152655	623
5000000	27	116152655	567
5000000	28	116152655	589
5000000	29	116152655	587
5000000	30	116152655	583
5000000	31	116152655	612
5000000	32	116152655	569
5000000	33	116152655	729
5000000	34	116152655	664
5000000	35	116152655	625
5000000	36	116152655	599
5000000	37	116152655	651
5000000	38	132616112	636
5000000	39	135616811	572
5000000	40	135616811	591
5000000	41	135616811	579
5000000	42	135616811	583
5000000	43	135616811	593
5000000	44	135616811	637
5000000	45	135616811	605
5000000	46	135616811	576
5000000	47	135616811	602
5000000	48	135616811	584
5000000	49	135616811	597
5000000	50	135616811	576
5000000	51	135616811	573
5000000	52	135616811	571
5000000	53	135616811	571
5000000	54	135616811	570
5000000	55	135616811	578
5000000	56	135616811	596
5000000	57	135616811	615
5000000	58	135616811	601
5000000	59	135616811	662
5000000	60	135616811	657
5000000	61	135616811	649
5000000	62	135616811	855
5000000	63	135616811	645
5000000	64	135616811	629
5000000	65	135616811	642
5000000	66	135616811	612
5000000	67	135616811	649
5000000	68	135616811	632
5000000	69	135616811	644
5000000	70	135616811	618
5000000	71	135616811	618
5000000	72	135616811	621
5000000	73	135616811	632
5000000	74	135616811	604
5000000	75	135616811	596
5000000	76	165787738	630
5000000	77	178689219	598
5000000	78	178689219	602
5000000	79	178689219	615
5000000	80	178689219	602
5000000	81	178689219	611
5000000	82	178689219	606
5000000	83	178689219	612
5000000	84	178689219	603
5000000	85	178689219	725
5000000	86	178689219	610
5000000	87	178689219	636
5000000	88	178689219	717
5000000	89	178689219	604
5000000	90	178689219	625
5000000	91	178689219	635
5000000	92	178689219	692
5000000	93	178689219	714
5000000	94	178689219	701
5000000	95	178689219	647
5000000	96	178689219	598
5000000	97	178689219	593
5000000	98	178689219	601
5000000	99	178689219	603
5000000	100	178689219	611
