N,S,count,time taken(ms)
10000000,40,281276406,1089
10000000,41,281276406,1148
10000000,42,281276406,1157
10000000,43,281276406,1080
10000000,44,281276406,1101
10000000,45,281276406,1099
10000000,46,281276406,1100
10000000,47,281276406,1097
10000000,48,281276406,1079
10000000,49,281276406,1061
10000000,50,281276406,1066
10000000,51,281276406,1081
10000000,52,281276406,1071
10000000,53,281276406,1068
10000000,54,281276406,1066
10000000,55,281276406,1080
10000000,56,281276406,1073
10000000,57,281276406,1085
10000000,58,281276406,1071
10000000,59,281276406,1079
10000000,60,281276406,1081
